name_en,name_he,name_ar,desc_en,desc_he,desc_ar,time,keywords_en,keywords_he,keywords_ar,links,longitude,latitude,elevation
"Saawa Enterance","כניסת סאווא","مدخل سوا","The northern entrance to Al-Naqea Valley from Saawa village.","הכניסה הצפונית לעמק אל-נקעה מכפר סאווא.","المدخل الشمالي لوادي النقع من قرية سوا.","2024-02-17T07:27:57Z","Entrance","כניסה","مدخل","pictures/first-trip/picture1.jpg",34.97182261606955,31.266276809163394,441.17102998588234
"Sawa's Landscape","נוף סאווא","منظر سوا","This point marks a site for catching a beautiful view on the agricultural identity of Saawa.","נקודה זו מסמנת אתר לתפיסת נוף יפה על הזהות החקלאית של סאווא.","تشير هذه النقطة إلى موقع للحصول على منظر جميل على الهوية الزراعية لسوا.","2024-02-17T07:29:08Z","Landscape view","נוף","منظر طبيعي","pictures/first-trip/picture1.jpg",34.971302076821615,31.260339411433634,438.884357589297
"Al-Atrash schools junction","צומת בתי הספר אל-אטרש","تقاطع مدارس الأطرش","The end of the road of the recognized Bedouin village Saawa and the beginning of the field of the unrecognized villages of Al-Naqea Valley. This is also where most of the schools on the northern side of Al-Naqea are concentrated.","סוף הדרך של הכפר הבדואי המוכר סאווא ותחילת השדה של הכפרים הלא מוכרים בעמק אל-נקעה. כאן גם מרוכזים רוב בתי הספר בצד הצפוני של אל-נקעה.","نهاية طريق القرية البدوية المعترف بها سوا وبداية حقل القرى غير المعترف بها في وادي النقع. هنا أيضًا تتركز معظم المدارس في الجانب الشمالي من النقع.","2024-02-17T07:31:05Z","School","בית ספר","مدرسة","pictures/first-trip/picture1.jpg",34.962812470463135,31.254624045745487,414.00443260744214
"Saawa Shop","חנות סאווא","متجر سوا","Small supermarket","סופרמרקט קטן","سوبرماركت صغير","2024-02-17T07:31:13Z","Shop","חנות","متجر","pictures/first-trip/picture1.jpg",34.96286734524373,31.254457462629986,413.92059361655265
"Al-Mithaq Mosque and Library","מסגד וספריית אל-מית'אק","مسجد ومكتبة الميثاق","On the Junction turning from the main road of Al-Naqea valley into the area if Al-Gharra village, there is a Mosque and a Library in its entrance.","בצומת הפונה מהכביש הראשי של עמק אל-נקעה לאזור כפר אל-גרה, יש מסגד וספרייה בכניסה.","عند التقاطع الذي يتحول من الطريق الرئيسي لوادي النقع إلى منطقة قرية الغرة، يوجد مسجد ومكتبة في مدخله.","2024-02-17T07:32:15Z","Mosque and Library","מסגד וספרייה","مسجد ومكتبة","pictures/first-trip/picture1.jpg",34.96159129397762,31.253056527801483,418.9678073376417
"Al-Amur family","משפחת אל-עמור","عائلة العمور","The Shiq of Al-Amur family in Bir-Almshash village northern Nevatim Military Base.","השיח' של משפחת אל-עמור בכפר ביר-אלמשש בצפון בסיס נבטים.","شيق عائلة العمور في قرية بير المشاش شمال قاعدة نيفاتيم العسكرية.","2024-02-17T07:49:02Z","Shiq","שייח","شيق","pictures/170224/DSC02586.JPG; pictures/170224/C0779.MP4",34.976400146182755,31.235350612146707,445.1249342318624
"BirAlhamamCemetry","בית הקברות ביר אלחמאם","مقبرة بير الحمام","Old cemetery of birAlhamam village. The cemetery is almost unseen, the graves are marked with little stones. The cemetery needs rehabilitation and a fence to show its borders. The cemetery marks the borders between Al-nAqea Area and Nevatim settlement.","בית הקברות הישן של כפר ביר אלחמאם. בית הקברות כמעט בלתי נראה, הקברים מסומנים באבנים קטנות. בית הקברות זקוק לשיקום ולגדר להראות את גבולותיו. בית הקברות מסמן את הגבולות בין אזור אל-נקעה להתנחלות נבטים.","مقبرة قديمة لقرية بير الحمام. المقبرة تكاد تكون غير مرئية، القبور محددة بأحجار صغيرة. تحتاج المقبرة إلى ترميم وسياج لإظهار حدودها. المقبرة تحدد الحدود بين منطقة النقع ومستوطنة نيفاتيم.","2024-03-09T07:34:55Z","Cemetery","בית קברות","مقبرة","pictures/090324/DSC03309.JPG",34.90730202760073,31.218498065165445,327.79458236694336
"BirAlhamam Village West side","הצד המערבי של כפר ביר אלחמאם","الجانب الغربي لقرية بير الحمام","Western side of BirAlhamam's Village","הצד המערבי של כפר ביר אלחמאם","الجانب الغربي لقرية بير الحمام","2024-03-09T07:34:55Z","Village","כפר","قرية","pictures/090324/DSC03304.JPG",34.90730202760073,31.218498065165445,327.79458236694336
"Wadi Ghwuiena","ואדי גוויינה","وادي غوينة","A stream that branches off from the Be'er Sheva stream, passes through the upper part of the village of Al-zarnuq, and continues northward through the villages of Bir al-Hamam, Al-ghara, Al-ruis, and Sawa","נחל שמתפצל מנחל באר שבע, עובר בחלק העליון של כפר אל-זרנוק, וממשיך צפונה דרך הכפרים ביר אל-חמאם, אל-גרה, אל-רויס וסאווא","جدول يتفرع من جدول بئر السبع، يمر عبر الجزء العلوي من قرية الزرنوق، ويستمر شمالًا عبر قرى بير الحمام، الغرة، الرويس، وسوا","2024-03-09T07:34:55Z","Stream","נחל","جدول","pictures/090324/DSC03304.JPG",34.95948,31.247841,116.82948160264641
"Bir Almshash shop","חנות ביר אלמשש","متجر بير المشاش","A special site of a shop and a power turbina","אתר מיוחד של חנות וטורבינת כוח","موقع خاص لمتجر وتوربين طاقة","2024-02-05T13:45:57Z","Shop","חנות","متجر","pictures/030224/Bir al mshash/photos/DSC02668.JPG; pictures/030224/Bir al mshash/photos/DSC02670.JPG",34.952141,31.192663,116.82948160264641
"Al-ara mosque","מסגד אל-ערה","مسجد العرا","A special site of a shop and a power turbina","אתר מיוחד של חנות וטורבינת כוח","موقع خاص لمتجر وتوربين طاقة","2024-02-05T13:45:57Z","Mosque","מסגד","مسجد","pictures/030224/Alaraa/photos/DSC02633.JPG; pictures/030224/Alaraa/photos/DSC02630.JPG",34.974562,31.233393,116.82948160264641
"Al-ghara Hill","גבעת אל-גרה","تل الغرة","At the summit of the hill, from which the village takes its name, stands a striking white prominence overlooking much of the valley. Known as Al-Ghara Hill, it shapes a distinct landscape on the northeast side of the village and provides a prominent landmark for orientation.","בפסגת הגבעה, ממנה הכפר קיבל את שמו, עומדת בולטות לבנה מרשימה המשקיפה על רוב העמק. ידועה כגבעת אל-גרה, היא מעצבת נוף ייחודי בצד הצפון-מזרחי של הכפר ומספקת נקודת ציון בולטת להתמצאות.","في قمة التل، الذي أخذت القرية منه اسمها، يقف بروز أبيض لافت يطل على معظم الوادي. يُعرف بتل الغرة، يشكل منظرًا طبيعيًا مميزًا على الجانب الشمالي الشرقي من القرية ويوفر معلمًا بارزًا للتوجيه.","2024-02-05T13:45:57Z","Hill","גבעה","تل","pictures/030224/Alaraa/photos/DSC02577.JPG; pictures/030224/Alaraa/photos/DSC02575.JPG; pictures/030224/Alaraa/photos/DSC02580.JPG; pictures/030224/Alaraa/photos/DSC02586.JPG",34.978202,31.235762,116.82948160264641
"Al-ara caves","מערות אל-ערה","كهوف العرا","The northern entrance to Al-Naqea Valley from Saawa village.","הכניסה הצפונית לעמק אל-נקעה מכפר סאווא.","المدخل الشمالي لوادي النقع من قرية سوا.","2024-02-05T13:45:57Z","Cave","מערה","كهف","pictures/170224/DSC02608.JPG; pictures/170224/DSC02611.JPG; pictures/170224/DSC02612.JPG; pictures/170224/DSC02614.JPG; pictures/170224/DSC02620.JPG; pictures/170224/DSC02616.JPG",34.977157,31.2348,116.82948160264641
"Al-ara Baika","בייקה אל-ערה","بيكة العرا","An old house seen from the rectangular left over pile of stone and refers to the Islamic period","בית ישן שנראה מהערימה המלבנית שנותרה מאבנים ומתייחס לתקופה האסלאמית","منزل قديم يُرى من كومة الحجارة المستطيلة المتبقية ويشير إلى الفترة الإسلامية","2024-02-05T13:45:57Z","Baika","בייקה","بيكة","pictures/030224/Alaraa/photos/DSC02649.JPG; pictures/030224/Alaraa/photos/DSC02647.JPG",34.97833,31.229407,116.82948160264641
"Borders between Huwashleh and Btehat Families","גבולות בין משפחות חואשל ובתחת","الحدود بين عائلات حواشلة وبتحات","A borders symbolized by a road that differs the lands of the families from each other","גבולות המסומנים על ידי כביש שמבדיל את אדמות המשפחות זו מזו","حدود يرمز إليها طريق يختلف أراضي العائلات عن بعضها البعض","2024-02-05T13:45:57Z","Borders","גבולות","حدود","pictures/030224/Alaraa/photos/DSC02648.JPG",34.976345,31.224426,116.82948160264641
"First concrete demolished house 1978","הבית הראשון מבטון שנהרס 1978","أول منزل خرساني تم هدمه 1978","One of the first concrete house ever demolished in the village remains etched in the memories of its residents. Meigel, a prominent figure in the council of unrecognized Bedouin villages and a member of the Al-Ghara community, is now approaching 60 years old. He vividly recalls the day when, on his way back from school, he witnessed the demolition. He describes the scene as an unforgettable and deeply painful moment in the history of the Beer Al-Saba'a Valley.","אחד הבתים הראשונים מבטון שנהרסו בכפר נותר חקוק בזיכרונות תושביו. מיגל, דמות בולטת במועצת הכפרים הבדואים הלא מוכרים וחבר בקהילת אל-גרה, מתקרב כעת לגיל 60. הוא זוכר בבהירות את היום שבו, בדרכו חזרה מבית הספר, היה עד להריסה. הוא מתאר את הסצנה כרגע בלתי נשכח וכואב מאוד בהיסטוריה של עמק באר אל-סבאע.","أحد أول المنازل الخرسانية التي تم هدمها في القرية لا يزال محفورًا في ذاكرة سكانها. ميجل، شخصية بارزة في مجلس القرى البدوية غير المعترف بها وعضو في مجتمع الغرة، يقترب الآن من سن الستين. يتذكر بوضوح اليوم الذي شهد فيه الهدم في طريق عودته من المدرسة. يصف المشهد بأنه لحظة لا تُنسى ومؤلمة للغاية في تاريخ وادي بئر السبع.","2024-02-05T13:45:57Z","Ruins","חורבות","أنقاض","pictures/030224/Alaraa/photos/DSC02652.JPG; pictures/030224/Alaraa/photos/DSC02653.JPG; pictures/030224/Alaraa/photos/DSC02655.JPG",34.973786,31.218762,116.82948160264641
"Turfah Well","באר טורפה","بئر طرفة","A well named after a girl named Turfah that got stuck in it for few days until one man dared to get her out and eventually married her","באר שנקראה על שם ילדה בשם טורפה שנתקעה בה לכמה ימים עד שאדם אחד העז להוציא אותה ולבסוף התחתן איתה","بئر سميت على اسم فتاة تدعى طرفة علقت فيها لبضعة أيام حتى تجرأ رجل على إخراجها وتزوجها في النهاية","2024-02-05T13:45:57Z","Well","באר","بئر","pictures/030224/Alaraa/photos/DSC02657.JPG; pictures/030224/Alaraa/photos/DSC02660.JPG; pictures/030224/Alaraa/photos/DSC02658.JPG",34.96978,31.213372,116.82948160264641
"Al-ghara and Bir-Elmshash cemetery","בית הקברות אל-גרה וביר-אלמשש","مقبرة الغرة وبير المشاش","The Concrete Block Cemetery, renovated through the collective efforts of the villages' inhabitants and maintained by them to this day, stands as a poignant tribute. Amidst the landscape of concrete ruins symbolizing the demolished 'dead' houses, the sight of the cemetery, adorned with concrete blocks marking the graves of beloved family members from the Beer Sheba Valley, is a profoundly moving experience for any visitor.","בית הקברות בלוק הבטון, ששופץ באמצעות מאמצים משותפים של תושבי הכפרים ומתוחזק על ידם עד היום, עומד כמחווה נוגעת ללב. בין נוף חורבות הבטון המסמלות את הבתים ה'מתים' שנהרסו, מראה בית הקברות, המעוטר בבלוקי בטון המסמנים את קברי בני המשפחה האהובים מעמק באר שבע, הוא חוויה מרגשת לכל מבקר.","مقبرة بلوك الخرسانة، التي تم تجديدها من خلال الجهود الجماعية لسكان القرى ويتم صيانتها من قبلهم حتى اليوم، تقف كتحية مؤثرة. وسط منظر الخراب الخرساني الذي يرمز إلى المنازل 'الميتة' المهدمة، فإن رؤية المقبرة، المزينة بكتل خرسانية تحدد قبور أفراد الأسرة المحبوبين من وادي بئر السبع، هي تجربة مؤثرة لأي زائر.","2024-02-05T13:45:57Z","Well","באר","بئر","pictures/030224/Alaraa/photos/DSC02662.JPG; pictures/030224/Alaraa/photos/DSC02664.JPG",34.96852,31.211429,116.82948160264641
"Shiq Al-Nabari in Al-ruis Village","שייח' אל-נבארי בכפר אל-רויס","شيق النباري في قرية الرويس","The Shiq Al-Nabari in Al-Ruis Village serves as the primary site for hosting visitors and acquainting them with the village. Residents recount numerous significant meetings held in this space, aimed at gaining recognition for the village. However, they view the events of May 2021, when people protested against forced forestation, as a disturbance that disrupted the progress they had worked hard to achieve.","השייח' אל-נבארי בכפר אל-רויס משמש כאתר הראשי לאירוח מבקרים ולהכרתם עם הכפר. תושבים מספרים על פגישות רבות ומשמעותיות שהתקיימו במקום זה, במטרה להשיג הכרה לכפר. עם זאת, הם רואים באירועי מאי 2021, כאשר אנשים מחו נגד ייעור כפוי, כהפרעה שהפריעה להתקדמות שהם עבדו קשה להשיג.","يعمل شيق النباري في قرية الرويس كموقع رئيسي لاستضافة الزوار وتعريفهم بالقرية. يروي السكان العديد من الاجتماعات الهامة التي عقدت في هذا المكان، بهدف الحصول على الاعتراف بالقرية. ومع ذلك، يرون أن أحداث مايو 2021، عندما احتج الناس ضد التحريج القسري، كانت اضطرابًا عطل التقدم الذي عملوا بجد لتحقيقه.","2024-02-17T10:00:49Z","Shiq","שייח","شيق","pictures/170224/DSC02633.JPG; pictures/170224/DSC02647.JPG; pictures/170224/DSC02643.JPG",34.93855079443963,31.242732285209623,386.8290253467858
"Shiq Abu Mamar Al-Mshash","שייח' אבו ממאר אל-משש","شيق أبو ممار المشاش","Shiq of Abu Mammar family at Bir Al-Mshash Village on the Western edge of Nevatim military base.","שייח' של משפחת אבו ממאר בכפר ביר אל-משש בקצה המערבי של בסיס נבטים.","شيق عائلة أبو ممار في قرية بير المشاش على الحافة الغربية لقاعدة نيفاتيم العسكرية.","2024-02-17T08:34:44Z","Shiq","שייח","شيق","pictures",34.97814263503524,31.207357472959306,375.23240943532437
"Shiq Meegel","שייח' מיגל","شيق ميجل","Shiq Meegel in Al-Gharaa village","שייח' מיגל בכפר אל-גרה","شيق ميجل في قرية الغراء","2024-05-14T09:04:45Z","Shiq","שייח","شيق","pictures/140524/Shiq Meegel/DSC04216.JPG; pictures/140524/Shiq Meegel/DSC04227.JPG; pictures/140524/Shiq Meegel/DSC04228.JPG",35.01703212040944,31.244749557255993,455.3922996520996
"Demolition of Wadi al-khalil village","הריסת כפר ואדי אל-חליל","هدم قرية وادي الخليل","The Israeli authorities’ demolition on 8 May 2024 of 47 homes in Wadi al-Khalil, an unrecognized Palestinian/Bedouin village in the Negev/Naqab, without proper consultation or compensation underscores the urgency to dismantle Israel’s apartheid system, said Amnesty International today.\n\nThe demolition orders against the Abu Assa neighbourhood in Wadi al-Khalil were issued by Israeli planning authorities in 2019 to make way for the extension of the route of Highway 6 southwards. The demolitions, the highest in a single day since the demolitions of Al-Araqib in 2010, amount to the forced eviction of over 300 residents of Wadi al-Khalil, one of nine unrecognized villages at risk of forced eviction under the guise of urban development.","הריסת 47 בתים בוואדי אל-חליל, כפר פלסטיני/בדואי לא מוכר בנגב/נקעה, על ידי הרשויות הישראליות ב-8 במאי 2024, ללא התייעצות או פיצוי נאותים, מדגישה את הדחיפות לפרק את מערכת האפרטהייד של ישראל, אמרה היום אמנסטי אינטרנשיונל.\n\nהוראות ההריסה נגד שכונת אבו עסא בוואדי אל-חליל הוצאו על ידי הרשויות הישראליות לתכנון ב-2019 כדי לפנות מקום להארכת כביש 6 דרומה. ההריסות, הגבוהות ביותר ביום אחד מאז ההריסות של אל-עראקיב ב-2010, מסתכמות בפינוי בכוח של למעלה מ-300 תושבים מוואדי אל-חליל, אחד מתשעה כפרים לא מוכרים בסיכון לפינוי בכוח תחת מסווה של פיתוח עירוני.","هدم السلطات الإسرائيلية في 8 مايو 2024 لـ 47 منزلاً في وادي الخليل، قرية فلسطينية/بدوية غير معترف بها في النقب/النقع، دون استشارة أو تعويض مناسبين، يبرز الحاجة الملحة لتفكيك نظام الفصل العنصري الإسرائيلي، قالت منظمة العفو الدولية اليوم.\n\nصدرت أوامر الهدم ضد حي أبو عسا في وادي الخليل من قبل السلطات الإسرائيلية للتخطيط في عام 2019 لإفساح المجال لتمديد طريق 6 جنوبًا. تشكل عمليات الهدم، وهي الأعلى في يوم واحد منذ عمليات الهدم في العراقيب في عام 2010، إخلاءً قسريًا لأكثر من 300 من سكان وادي الخليل، واحدة من تسع قرى غير معترف بها معرضة لخطر الإخلاء القسري تحت ستار التنمية الحضرية.","2024-05-14T07:53:25Z","Demolition","הריסה","هدم","pictures/Demolition Wadi al-khalil/photos/DSC03883.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03884.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03885.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03886.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03887.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03888.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03889.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03890.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03891.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03892.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03893.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03894.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03895.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03896.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03930.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03929.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03928.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03927.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03926.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03925.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03924.JPG; pictures/Demolition Wadi al-khalil/photos/DSC03923.JPG",34.88934095020861,31.2956391088956,338.1509666442871
"Tal al-Malah Mosque","מסגד תל אל-מלאח","مسجد تل الملح","Tal al-Malah Mosque is a religious landmark of great significance to the former residents of the village of Tal al-Malah. Located in the Naqea (Beer Sheba Valley), Tal al-Malah was an integral part of the geographical and social fabric of the area before its inhabitants were displaced. The residents were forced to leave after the establishment of the Nevatim military base on the village's land, leading to the village's incorporation within the base's boundaries. Today, the northern Naqea area, specifically the regions adjacent to the Nevatim base, is where most families who used to live in Tal al-Malah gather. These residents come to pray at the Tal al-Milh Mosque, which remains a symbol of their heritage and a part of their cultural and religious identity.","מסגד תל אל-מלאח הוא ציון דרך דתי בעל חשיבות רבה לתושבי הכפר תל אל-מלאח לשעבר. ממוקם בנקעה (עמק באר שבע), תל אל-מלאח היה חלק בלתי נפרד מהמרקם הגיאוגרפי והחברתי של האזור לפני שתושביו נעקרו. התושבים נאלצו לעזוב לאחר הקמת בסיס נבטים על אדמות הכפר, מה שהוביל לשילוב הכפר בגבולות הבסיס. כיום, אזור הנקעה הצפוני, במיוחד האזורים הסמוכים לבסיס נבטים, הוא המקום שבו מתכנסות רוב המשפחות שנהגו לגור בתל אל-מלאח. תושבים אלה באים להתפלל במסגד תל אל-מלאח, שנשאר סמל למורשתם וחלק מזהותם התרבותית והדתית.","مسجد تل الملح هو معلم ديني ذو أهمية كبيرة لسكان قرية تل الملح السابقين. يقع في النقع (وادي بئر السبع)، كان تل الملح جزءًا لا يتجزأ من النسيج الجغرافي والاجتماعي للمنطقة قبل أن يتم تهجير سكانها. اضطر السكان إلى المغادرة بعد إنشاء قاعدة نيفاتيم العسكرية على أراضي القرية، مما أدى إلى دمج القرية ضمن حدود القاعدة. اليوم، منطقة النقع الشمالية، وخاصة المناطق المجاورة لقاعدة نيفاتيم، هي المكان الذي تتجمع فيه معظم العائلات التي كانت تعيش في تل الملح. يأتي هؤلاء السكان للصلاة في مسجد تل الملح، الذي لا يزال رمزًا لتراثهم وجزءًا من هويتهم الثقافية والدينية.","2024-05-14T09:26:44Z","Mosque","מסגד","مسجد","pictures/140524/Mosque Tal Al-malah/DSC04176.JPG; pictures/140524/Mosque Tal Al-malah/DSC04178.JPG; pictures/140524/Mosque Tal Al-malah/DSC04185.JPG; pictures/140524/Mosque Tal Al-malah/DSC04186.JPG; pictures/140524/Mosque Tal Al-malah/DSC04187.JPG; pictures/140524/Mosque Tal Al-malah/DSC04188.JPG; pictures/140524/Mosque Tal Al-malah/DSC04189.JPG; pictures/140524/Mosque Tal Al-malah/DSC04191.JPG; pictures/140524/Mosque Tal Al-malah/DSC04194.JPG; pictures/140524/Mosque Tal Al-malah/DSC04195.JPG; pictures/140524/Mosque Tal Al-malah/WhatsApp Image 2024-05-14 at 13.18.31.jpeg",35.009316961542204,31.23384235517628,433.94833347946405
"Al-amal (hope) Kindergarten","גן ילדים אל-עמל (תקווה)","روضة الأمل","Al-amal (hope) Kindergarten belongs to the village of Tal al-malah. The village's lands were confiscated in 1980 for the establishment of the Nevatim military base. The kindergarten is now closed and is situated near the Tal al-Malah Mosque.","גן ילדים אל-עמל (תקווה) שייך לכפר תל אל-מלאח. אדמות הכפר הופקעו ב-1980 להקמת בסיס נבטים. הגן סגור כעת וממוקם ליד מסגד תל אל-מלאח.","روضة الأمل تنتمي إلى قرية تل الملح. تم مصادرة أراضي القرية في عام 1980 لإنشاء قاعدة نيفاتيم العسكرية. الروضة مغلقة الآن وتقع بالقرب من مسجد تل الملح.","2024-05-14T09:26:44Z","Kindergarten","גן ילדים","روضة","pictures/140524/Al-Amal Kindergarten/DSC04182.JPG; pictures/140524/Al-Amal Kindergarten/DSC04181.JPG",35.009316961542204,31.23384235517628,433.94833347946405
"Tel al-Milh soccer field","מגרש כדורגל תל אל-מילח","ملعب كرة القدم تل الملح","An open soccer field marked by two soccer goals framing the landscape","מגרש כדורגל פתוח המסומן על ידי שני שערי כדורגל הממסגרים את הנוף","ملعب كرة قدم مفتوح يتميز بوجود هدفين لكرة القدم يحددان المنظر","2024-05-14T09:39:09Z","Playing field","מגרש משחקים","ملعب","pictures/140524/Soccer field/DSC04203.JPG",35.00401942750079,31.22649815252676,406.0931950425729
"Al-bat village","כפר אל-בת","قرية البط","Meeting with Sheikh Ali Abu-Khalil from Al-sarayaa family in his Shiq.","פגישה עם השייח' עלי אבו-ח'ליל ממשפחת אל-סראיה בשייח' שלו.","لقاء مع الشيخ علي أبو خليل من عائلة السرايا في شيقه.","2024-05-14T09:04:45Z","Village","כפר","قرية","pictures/140524/Al-bat village/DSC04161.JPG; pictures/140524/Al-bat village/DSC04162.JPG; pictures/140524/Al-bat village/DSC04166.JPG; pictures/140524/Al-bat village/DSC04167.JPG; pictures/140524/Al-bat village/DSC04169.JPG",35.01703212040944,31.244749557255993,455.3922996520996
"Shiq Abu Asaa Family","שייח' משפחת אבו עסא","شيق عائلة أبو عسا","Shiq Khalil Abu-asaa from Bir-Alhamam village. Abu Assa is one of the families in the village of Bir al-Hamam in its western neighborhood. The Abu Assa families were known for agriculture, so even during the military rule when many moved north in search of livelihoods, Abu Assa families would return to their lands in the summer for land preparation and harvesting. The Abu Assa family was among the first to build a school and mud houses before the destruction of Beer Sheva. During the military rule, those who remained in the village and continued their education in the school witnessed the arrival of an Arabic teacher from the north who came every day on his bicycle from the city of Beer Sheva.","שייח' ח'ליל אבו-עסא מכפר ביר-אלחמאם. משפחת אבו עסא היא אחת המשפחות בכפר ביר אל-חמאם בשכונה המערבית שלו. משפחות אבו עסא היו ידועות בחקלאות, ולכן גם במהלך השלטון הצבאי כאשר רבים עברו צפונה בחיפוש אחר פרנסה, משפחות אבו עסא היו חוזרות לאדמותיהן בקיץ להכנת הקרקע ולקציר. משפחת אבו עסא הייתה בין הראשונות שבנו בית ספר ובתי בוץ לפני חורבן באר שבע. במהלך השלטון הצבאי, אלה שנשארו בכפר והמשיכו את לימודיהם בבית הספר היו עדים להגעתו של מורה ערבי מהצפון שהגיע כל יום על אופניו מהעיר באר שבע.","شيق خليل أبو عسا من قرية بير الحمام. عائلة أبو عسا هي واحدة من العائلات في قرية بير الحمام في حيها الغربي. كانت عائلات أبو عسا معروفة بالزراعة، لذلك حتى خلال الحكم العسكري عندما انتقل الكثيرون شمالًا بحثًا عن سبل العيش، كانت عائلات أبو عسا تعود إلى أراضيها في الصيف لتحضير الأرض والحصاد. كانت عائلة أبو عسا من بين الأوائل الذين بنوا مدرسة ومنازل طينية قبل تدمير بئر السبع. خلال الحكم العسكري، شهد أولئك الذين بقوا في القرية واستمروا في تعليمهم في المدرسة وصول معلم عربي من الشمال كان يأتي كل يوم على دراجته من مدينة بئر السبع.","2024-05-14T11:37:30Z","Shiq","שייח","شيق","pictures/140524/Shiq Abu Asaa/DSC04249.JPG; pictures/140524/Shiq Abu Asaa/WhatsApp Image 2024-05-14 at 15.25.37.jpeg",34.91294461284242,31.234669457606355,350.1770468009636
"The Al-Mithaq Mosque","מסגד אל-מית'אק","مسجد الميثاق","The Al-Mithaq Mosque is located in the north of Naqab Al-Sab'a, at the intersection that leads to the mountains of the Al-Ghraa village, preceded by the Al-Mithaq Mosque.","מסגד אל-מית'אק ממוקם בצפון נקעה אל-סבאע, בצומת המוביל להרים של כפר אל-גרה, לפניו מסגד אל-מית'אק.","يقع مسجد الميثاق في شمال نقب السبع، عند التقاطع الذي يؤدي إلى جبال قرية الغراء، يسبقه مسجد الميثاق.","2024-05-14T11:07:50Z","Mosque","מסגד","مسجد","pictures/140524/Al-Mithaq Mosque/DSC04238.JPG; pictures/140524/Al-Mithaq Mosque/DSC04236.JPG",34.957098,31.250177,402.2363248700276
"The Al-Mithaq Library","ספריית אל-מית'אק","مكتبة الميثاق","The Al-Mithaq Library is located in the north of Naqab Al-Sab'a, at the intersection that leads to the mountains of the Al-Ghraa village, followed by the Al-Mithaq Mosque.","ספריית אל-מית'אק ממוקמת בצפון נקעה אל-סבאע, בצומת המוביל להרים של כפר אל-גרה, ואחריה מסגד אל-מית'אק.","تقع مكتبة الميثاق في شمال نقب السبع، عند التقاطع الذي يؤدي إلى جبال قرية الغراء، يليها مسجد الميثاق.","2024-05-14T11:07:50Z","Mosque","מסגד","مسجد","pictures/140524/Al-Mithaq Mosque/DSC04238.JPG; pictures/140524/Al-Mithaq Mosque/DSC04237.JPG",34.956938,31.250415,402.2363248700276
"Al-nabari Cemetery","בית הקברות אל-נבארי","مقبرة النباري","14 May 2024 at 14:21:54","14 במאי 2024 בשעה 14:21:54","14 مايو 2024 في الساعة 14:21:54","2024-05-14T11:21:54Z","Cemetery","בית קברות","مقبرة","pictures/140524/Al-nabari Cemetery/DSC04240.JPG; pictures/140524/Al-nabari Cemetery/DSC04241.JPG; pictures/140524/Al-nabari Cemetery/DSC04242.JPG",34.93706780145249,31.232936113826394,368.12278349418193